App ID,Project Type,Org Name,Project Title,Project Summary,Initiative,Award Amount (Preliminary),Organization Type,Service Area,Notification Date
BP1-IA-054,Implementation,Arctic Slope Native Association,Surgical Suite Renovation,"The Arctic Slope Native Association proposes to renovate space at the Samuel Simmonds Memorial Hospital to create a surgical suite in Utqiagvik Alaska. This project provides access to surgical care for approximately 10,000 residents that would otherwise have to leave the community.  Creating this access reduces travel impact on expectant mothers, elderly/medically fragile patients, and improves response times for trauma patients.",Health Care Access,2000000,"Emergency Medical Services;Family medicine or primary care;Hospital (all types);Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy;Tribal Health Organization",North Slope Borough,2026-08-21 00:00:00
BP1-PL-007,Planning,Arctic Slope Native Association,Community Alcohol and Other Drug Abuse Health Assessment & Planning,"Arctic Slope Native Association (ASNA), in partnership with the North Slope Borough Health and Social Services Department, proposes a $500,000 feasibility study to assess the viability of establishing a sober living environment and detox facility on the North Slope, where 42% of households report being impacted by alcohol or drug use and inpatient AODA treatment currently requires patients to leave Alaska. The study will identify barriers to sustainable AODA services, evaluate operating models, and produce architectural concepts. Findings will be shared regionally and statewide as a potential model for addressing AODA service gaps in rural Alaska.",Health Care Access,500000,Tribal Health Organization,North Slope Borough,2026-08-21 00:00:00
BP1-IA-055,Implementation,Arctic Slope Native Association,Virtual Intensive Care Unit Project,The Arctic Slope Native Association proposes to address the complete lack of intensive care unit beds in the region by installing technology to create three virtual intensive care rooms at the Samuel Simmonds Memorial Hospital. Upgrading these rooms will allow complex cases to be treated in the region rather than transferring them to Anchorage.,Health Care Access,500000,"Clinic;Dental;Emergency Medical Services;Family medicine or primary care;Hospital (all types);Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy;Tribal Health Organization",North Slope Borough,2026-08-21 00:00:00
BP1-IA-057,Implementation,Arete Family Care,Point of Care Ultrasound & PACS System,"Arete Family Care, LLC proposes to acquire a diagnostic ultrasound system and integrated PACS to establish on-site imaging capability at our Anchorage primary care clinic, addressing the lack of accessible, affordable diagnostic imaging for uninsured, underinsured, Medicare, and Tricare patients who face significant delays, transportation barriers, and referral dropout when referred to external facilities for routine abdominal, pelvic, thyroid, and vascular studies.",Health Care Access,62625,Family medicine or primary care,Anchorage (Municipality),2026-08-21 00:00:00
BP1-IA-066,Implementation,Bartlett Regional Hospital,Bartlett Secure Communication Expansion,"Bartlett Regional Hospital proposes to expand and enhance the hospital's communication infrastructure by adding modules to our secure communication software that improve patient engagement and functionality for staff in a way that is HIPAA compliant. The enhanced system will allow our patient population of 70,000 Southeast Alaskans to engage with their healthcare in a secure platform integrated with hospital scheduling and care team communications. Consolidating these functions improves reliability, reduces manual outreach burdens, and enhances the speed and safety of clinical decision-making.",Spark Technology and Innovation,341943,Behavioral health/substance use disorder treatment;Clinic;Emergency Medical Services;Family medicine or primary care;Home-and-community-based services provider;Hospital (all types);Local government;Maternal health;Other health care provider;Pharmacy;Specialist,Haines Borough;Hoonah-Angoon Census Area;Juneau (City and Borough);Ketchikan Gateway Borough;Petersburg Borough;Prince of Wales-Hyder Census Area;Sitka (City and Borough);Skagway (Municipality);Wrangell (City and Borough);Yakutat (City and Borough),2026-08-21 00:00:00
BP1-IA-068,Implementation,Brave Heart Maternity Home,Brave Heart Maternity Home - Strengthening Alaska’s Healthy Beginnings,"Brave Heart Maternity Home proposes establishing Alaska's first maternal stabilization home to keep pregnant and postpartum mothers and infants safely together. The project addresses the gap in maternity housing and coordinated prenatal, behavioral health, recovery, and parenting support for women in crisis, including those facing homelessness, DV, poverty, substance use, or child welfare involvement in the Matanuska-Susitna Borough and surrounding rural communities. Pregnant women experiencing homelessness are an invisible population, untracked until a crisis forces an emergency response.",Healthy Beginnings,678460,"Maternal health;Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality);Matanuska-Susitna Borough,2026-08-21 00:00:00
BP1-IA-079,Implementation,Cartwheel Health Services,Project HEARTH: Health & Education Advancement through Rural Telehealth Hubs,"Cartwheel proposes, in partnership with the Bristol Bay Area Health Corporation and the Fairbanks and Anchorage school districts, to deliver mental health care via telehealth to rural, remote, and frontier students and families and to help schools and local providers coordinate care and bill Medicaid for school-based services. In doing so, we address long wait times, transportation barriers, and provider shortages that leave rural students and families without reliable access to behavioral health support.",Healthy Communities,993347.45,Behavioral health/substance use disorder treatment;Organizations providing health technology solutions;Other vendors partnering with an Alaska healthcare or community organization;Specialist,Bristol Bay Borough;Dillingham Census Area;Fairbanks North Star Borough;Lake and Peninsula Borough,2026-08-21 00:00:00
BP1-IA-080,Implementation,Catholic Social Services Brother Francis Shelter Clare House,Closing the Gap: Rural Health Care Transitions for Medically Fragile Alaskans,"Catholic Social Services proposes to implement a Medicaid-aligned Medical Respite model to support future inclusion in Alaska’s Medicaid demonstration waiver, addressing the lack of a reimbursable recovery setting for medically fragile Alaskans experiencing homelessness who are too ill to recover safely in shelter or on the street.",Health Care Access,820093.65,"Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality);Matanuska-Susitna Borough,2026-08-21 00:00:00
BP1-IA-081,Implementation,CSS Early Learning,Mental Health Supports for Early Childhood,"CCS Early Learning will establish a Behavioral Health Associate training hub — using Head Start classrooms as a real-world learning environment — and an early childhood mental health clinic for children ages 0–5. In 2023–24, 44% of CCS-enrolled children qualified based on foster care or homelessness — 7 times the national Head Start average — documenting acute need for expanded behavioral health services in Alaska's Matanuska-Susitna Borough.",Healthy Beginnings,954143.18,"Clinic;Non-Profit, Social Service, or Community Based Organization",Matanuska-Susitna Borough,2026-08-21 00:00:00
BP1-PL-011,Planning,Christian Health Associates,Expanding the Healthy Smiles Forever Model of On-site Oral Healthcare to Rural Long Term Care Facilities,"Christian Health Associates proposes to plan the expansion of its existing Healthy Smiles Forever on-site dental care model—currently operating at 5 Anchorage and Mat-Su Valley facilities for 10 years—to 5 rural long-term care facilities in Homer, Cordova, Juneau, Ketchikan, and Soldotna. Planning activities include developing a replicable expansion template, analyzing organizational structure options, building recruitment strategies, and improving Medicaid reimbursement processes. Technology upgrades for existing sites are also planned to improve operational efficiency.",Health Care Access,246050,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-PL-012,Planning,City and Borough of Juneau,Community Health Data and Billing Infrastructure,"The City and Borough of Juneau's CCFR Community Health Division proposes to hire a contractor to build billing and data infrastructure within the Imagetrend platform for its three community health teams—Mobile Integrated Health, Mobile Crisis, and Sleep-off/Sobering Center—which currently conduct nearly 5,000 annual contacts with no reimbursement or billing structure. The contractor will develop Medicaid/Medicare billing systems and automated reporting dashboards to support program sustainability and quality improvement. This infrastructure investment is designed to provide a stable funding pathway for community health programs currently dependent entirely on CBJ appropriations.",Pay for Value,76554,Local Government,Juneau (City and Borough),2026-08-21 00:00:00
BP1-IA-095,Implementation,City of Bethel,New EKG Monitors ,"The City of Bethel proposes to purchase three new state-of-the-art EKG monitors/defibrillators, now called cardiac monitors/defibrillators, to replace three ten-year old cardiac monitor/defibrillators stationed in three ambulances used by emergency medical service responders. The current equipment is at the end of its useful life, produces slower diagnostic results, is difficult to find parts for and repair, and has experienced heavy use due to Bethel's high call volume. Bethel EMS personnel serve Bethel residents and visitors 24 hours a day, 365 days a year.",Health Care Access,209237.62,Local government,Bethel Census Area,2026-08-21 00:00:00
BP1-IA-104,Implementation,City of Togiak,Togiak Family Resource Center Renovation: Jake's Place Satellite Facility and Community Wellness Center,"The City of Togiak proposes to renovate the Family Resource Center to establish a Jake's Place satellite residential substance use disorder treatment program, in partnership with Bristol Bay Area Health Corporation, alongside a community wellness gathering space, addressing the absence of local treatment options for Togiak and the western Bristol Bay region, where residents must leave their home communities to access care. The year one planning phase reduces risk by establishing operational sustainability before capital investment occurs.",Health Care Access,225852,Local government,Dillingham Census Area,2026-08-21 00:00:00
BP1-IA-106,Implementation,Community Connections,Grow Your Own Behavioral Health Workforce and Training Supports,"Community Connections proposes to develop and implement a locally rooted behavioral health workforce pipeline to address critical workforce shortages limiting access to children’s mental health services in Ketchikan and remote communities on Prince of Wales Island, building capacity through credential advancement, structured internships, onboarding improvements, and community-based career pathways.",Strengthen Workforce,244568,"Behavioral health/substance use disorder treatment;Non-Profit, Social Service, or Community Based Organization",Ketchikan Gateway Borough;Prince of Wales-Hyder Census Area,2026-08-21 00:00:00
BP1-IA-113,Implementation,Cordova Community Medical Center,"Rural Pharmacy Transformation: Safe Compounding, Automated Dispensing, and Infusion Care","Cordova Community Medical Center proposes to modernize its pharmacy infrastructure and clinical workforce to launch safe, on-site chemotherapy and biologic infusion services by achieving USP <797>/<800> compliance through certified cleanroom installation and deploying an automated dispensing system to replace manual medication management. These investments will close the infrastructure gap that currently forces Cordova patients to travel by plane or ferry to Anchorage for treatments that are standard of care elsewhere.",Health Care Access,1291355,Hospital (all types);Pharmacy,Chugach Census Area,2026-08-21 00:00:00
BP1-IA-117,Implementation,Council of Athabascan Tribal Governments,"Growing Health in the Yukon Flats: SDPI Expansion for Food Security, Community Wellness, and Diabetes Prevention","The Council of Athabascan Tribal Governments proposes to expand its Special Diabetes Program for Indians by increasing access to healthy foods, nutrition education, traditional foods activities, physical activity opportunities, and diabetes prevention services to address food insecurity, chronic disease risk, and barriers to healthy living among Alaska Native residents of Arctic Village, Beaver, Fort Yukon, and Venetie through community gardening, wellness activities, healthy cooking education, food preservation training, and community-based health promotion.",Healthy Communities,370511.6,"Federally qualified health center;Non-Profit, Social Service, or Community Based Organization;Tribal Health Organization",Yukon-Koyukuk Census Area,2026-08-21 00:00:00
BP1-INT-17,Implementation,Department of Education & Early Development,Alaska School District Healthcare Programs of Study  ,"The Alaska Department of Education & Early Development (DEED) will provide competitive subgrants to school districts, partnering vocation training institutions and local regional employers to deliver programs of study in healthcare careers to secondary students. Public school districts currently receive federal Carl Perkins funding to provide exposure and training to students to connect them to workforce opportunities after graduation.  Of Alaska’s 53 districts, 36 small and rural districts receive only $20,000 of these federal funds to provide Career and Technical Education across fourteen different career clusters of which Healthcare and Human Services is just one.  Currently, 26 of Alaska’s smallest districts do not offer any federally funded healthcare career and technical education due to limited capacity or resources. Each school district is part of DEED’s existing network that supports and promotes career and technical education programming.  The healthcare program of study grants would allow smaller rural districts to focus on providing options to rural students to explore healthcare career options and receive technical training leading to careers in the local, regional, and statewide healthcare sector.  The grants would serve students with priority given to smaller rural districts facing economy of scale limitations.  ",Strengthen Workforce,4272636,State agency,Statewide,2026-08-21 00:00:00
BP1-INT-04,Implementation,"Division of Health Care Services, Department of Health",Real-Time Digital Access for Applicants to the Alaska Background Check Program,"The Division of Health Care Services proposes to modernize the digital Applicant Site to enable real-time background check management, addressing the delays and administrative barriers of outdated, mail-based processing that exacerbate workforce shortages for health care providers across rural and frontier Alaska.",Spark Technology and Innovation,132300,State agency,Statewide,2026-08-21 00:00:00
BP1-INT-02,Implementation,"Division of Public Health, Department of Health",Fresh Start Expansion,"The Section of Chronic Disease Prevention and Health Promotion within the State of Alaska Department of Health, Division of Public Health, proposes to increase access to chronic disease prevention and management programs for Alaskans statewide. ",Healthy Communities,1374000,State agency,Statewide,2026-08-21 00:00:00
BP1-INT-03,Implementation,"Division of Public Health, Department of Health",Emergency Medical Services Modernization & Expansion,"The Office of Emergency Medical Services proposes establishing statewide policies, technical assistance, standardized leadership training, and reimbursement strategies to modernize emergency medical services across Alaska. The project addresses limited reimbursement options, training and management gaps, and barriers to providing care without transport to an emergency department. It will support EMS agencies, tribal organizations, healthcare providers, and rural communities by developing standardized guidance, training, and innovative emergency care delivery models.",Health Care Access,618916.24,State agency,Statewide,2026-08-21 00:00:00
BP1-IA-129,Implementation,Eastern Aleutian Tribes,Healthier Alaskans: Rural Oral Health Access and Dental Infrastructure Modernization Initiative,"Eastern Aleutian Tribes proposes to modernize regional dental infrastructure, replace aging equipment, deploy portable dental treatment systems, and expand oral health access across remote communities. The project addresses limited access to dental care, aging clinical infrastructure, and geographic barriers affecting residents of Adak, Akutan, Cold Bay, False Pass, King Cove, Nelson Lagoon, and Sand Point.",Health Care Access,3786120.84,Dental;Federally qualified health center;Tribal Health Organization,Aleutians East Borough;Aleutians West Census Area,2026-08-21 00:00:00
BP1-IA-125,Implementation,Eastern Aleutian Tribes,Healthier Alaskan:  Portable Digital X-Ray Access for Nelson Lagoon,"Eastern Aleutian Tribes proposes implementing portable digital x-ray services in Nelson Lagoon to improve access to diagnostic imaging, address delays in medical evaluation and treatment, and reduce transportation barriers for residents of Nelson Lagoon and surrounding rural communities in our service area.",Health Care Access,116621.59,Clinic;Emergency Medical Services;Family medicine or primary care;Federally qualified health center;Tribal Health Organization,Aleutians East Borough,2026-08-21 00:00:00
BP1-IA-137,Implementation,Envoy Integrated Health,Statewide Population Health Service Organization,"Envoy Integrated Health proposes building a statewide shared services model that gives Alaska’s providers access to high quality and affordable electronic health records, data analytics, and care coordination tools.  This statewide population health services model addresses Alaska’s fragmented healthcare system, limited interoperability, and high infrastructure costs by enabling Alaska’s providers – especially those in small, independent, or rural practices – to manage the health of their patients and participate in value-based care.",Pay for Value,6349886.26,Clinic;Family medicine or primary care;Other health care provider;Private practitioner;Specialist,Statewide,2026-08-21 00:00:00
BP1-IA-135,Implementation,Envoy Integrated Health,Medicaid Accountable Care Organization Pilot,"Envoy Integrated Health proposes to pilot a Medicaid Accountable Care Organization (ACO) that brings providers together to coordinate care, improve quality, and reduce avoidable costs for Alaska Medicaid beneficiaries. Our project will take a tried-and-true value-based care model, which Envoy has already proven can be successful in Alaska, and translate it to Alaska’s Medicaid population.",Pay for Value,1509019.17,Clinic;Family medicine or primary care;Other health care provider;Private practitioner;Specialist,Anchorage (Municipality);Kenai Peninsula Borough;Matanuska-Susitna Borough,2026-08-21 00:00:00
BP1-IA-141,Implementation,Fond of You Inc (Somethings),Virtual Low-Bandwidth Certified Peer Support for Youth and Young Adults in Rural Alaska,"Somethings will provide accessible, low-bandwidth virtual peer mentorship to over 3,000 Alaska youth ages 13 to 26 in rural, frontier, and Alaska Native communities. Through Alaska-based Certified Peer Specialists who share lived experience and local context, the program expands behavioral health access, strengthens the peer support workforce, and opens a new front door for youth mental health care, with local partners across the state for referral pathways. The goal is to reduce depression, anxiety, and emergency department utilization in areas with limited behavioral health access.",Health Care Access,2617260,Behavioral health/substance use disorder treatment;Organizations providing health technology solutions;Other vendors partnering with an Alaska healthcare or community organization,Statewide,2026-08-21 00:00:00
BP1-IA-143,Implementation,Frontier Community Services,Alaska Community Care for Medical Complexity Pilot,"Frontier Community Services proposes implementing a specialized community-based care model for Alaskans with intellectual and developmental disabilities who have complex medical needs. The project addresses the lack of residential providers able to support individuals with higher medical acuity, resulting in extended hospital stays and institutional placements. Services will focus on rural and frontier communities across Alaska while evaluating provider capacity, reimbursement structures, and support-level assessment approaches to inform future system planning.",Health Care Access,249208.8,"Home-and-community-based services provider;Non-Profit, Social Service, or Community Based Organization",Kenai Peninsula Borough,2026-08-21 00:00:00
BP1-IA-144,Implementation,Frontier Community Services,Connected Independence: Advancing Rural Aging in Place,"Frontier Community Services proposes implementing a hybrid aging-in-place service model that combines structured in-home supports with technology-enabled monitoring, communication, wellness engagement, and care coordination tools, addressing workforce shortages, transportation barriers, geographic isolation, social disconnection, and limited access to affordable safety supports for older adults living independently across the Kenai Peninsula. The model strengthens existing services while enhancing connection, safety, and access to community resources.",Spark Technology and Innovation,240033.48,"Home-and-community-based services provider;Non-Profit, Social Service, or Community Based Organization",Kenai Peninsula Borough,2026-08-21 00:00:00
BP1-PL-015,Planning,Frontier Community Services,Bringing Alaska’s Children Home: Community-Based Therapeutic Care and Family Supports,"Frontier Community Services proposes to develop a coordinated system of therapeutic childcare, after-school programs, and licensed therapeutic foster care for children with developmental disabilities and complex behavioral health needs on the Kenai Peninsula. The project will also work toward creating in-state residential alternatives for the more than 50 Alaska children currently in out-of-state institutional care, and will offer childcare options for Direct Support Professionals working extended shifts to support workforce retention. The approach leverages FCS's existing Medicaid provider infrastructure, billing systems, and Infant Learning Program to support sustainable implementation.",Healthy Beginnings,233922.68,"Non-Profit, Social Service, or Community Based Organization",Kenai Peninsula Borough,2026-08-21 00:00:00
BP1-INT-24,Implementation,healthEconnect Alaska,Statewide Health Information Exchange Expansion,"healthEconnect Alaska proposes to strengthen Alaska’s statewide health data infrastructure by expanding health information exchange connectivity and interoperability, particularly for small and rural healthcare providers. Key activities include supporting EMR interoperability standards, providing technical assistance and connectivity funding, expanding population health dashboards and claims-based analytics to support Pay For Value projects, and strengthening care coordination through real-time event notifications, care team visibility, and referral tools. These activities align with milestones identified in DOH’s RHTP application including 1) Expand statewide health information exchange; 2) Enter contracts to expand HIE interoperability; and 3) Provide targeted investments for participating in electronic health record systems.",Spark Technology and Innovation,4570000,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-IA-156,Implementation,Hope Community Resources Inc,Direct Support Professional (DSP) Mentor & Internship Program,"Hope Community Resources, Inc. proposes expanding mentorship, internships, and statewide recruitment opportunities to address the high first-year turnover and workforce shortages in disability support and human services across Alaska. The program will strengthen support for new direct support professionals (DSPs) and interns serving people who experience intellectual and developmental disabilities, traumatic brain injuries, and mental health challenges, including in rural Alaska communities where consistent, qualified staffing is limited.",Strengthen Workforce,247051.27,"Behavioral health/substance use disorder treatment;Home-and-community-based services provider;Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality);Kenai Peninsula Borough;Kodiak Island Borough;Matanuska-Susitna Borough;North Slope Borough,2026-08-21 00:00:00
BP1-IA-162,Implementation,Interior Community Health Center,"Improve blood pressure control in 50% of the 320 high needs patients who have uncontrolled hypertension by June 30, 2027.","Interior Community Health Center (ICHC), a Federally Qualified Health Center (FQHC), located in Fairbanks, Alaska within the Fairbanks North Star Borough (a hub to the Denali Borough, Southeast Fairbanks and Yukon-Koyukuk Census Areas) proposes to improve blood pressure control in 50% (160 of 320)of its patients diagnosed with uncontrolled hypertension. ICHC proposes to do this by using a remote patient monitoring (RPM) nursing service linked to the patient's home blood pressure cuff and their electronic health record (EHR), utilizing an individualized health promotion coaching intervention.",Healthy Communities,88871,"Behavioral health/substance use disorder treatment;Clinic;Dental;Family medicine or primary care;Federally qualified health center;Non-Profit, Social Service, or Community Based Organization",Denali Borough;Fairbanks North Star Borough,2026-08-21 00:00:00
BP1-IA-172,Implementation,Kachemak Bay Family Planning Clinic,Bridging the Distance: Remote Maternal and Reproductive Health Services on the Kenai Peninsula,"Kachemak Bay Family Planning Clinic proposes to expand remote service delivery by piloting a replicable Postpartum Home Visit program and scaling Pop-Up Clinic services, addressing the shortage of accessible maternal and reproductive health care for rural and remote Alaskans living on the Kenai Peninsula.",Healthy Beginnings,727091.29,"Clinic;Family medicine or primary care;Maternal health;Non-Profit, Social Service, or Community Based Organization;Other health care provider",Kenai Peninsula Borough,2026-08-21 00:00:00
BP1-IA-178,Implementation,Ketchikan Indian Community,Rural Health Through Partnerships - Salmon Falls Healing Center,"Ketchikan Indian Community (KIC) will transform access to behavioral health services by developing and operationalizing the Salmon Falls Healing and Wellness Center, a first-of-its-kind tribally led residential treatment and recovery campus in Southeast Alaska. The project will expand access to coordinated, culturally responsive care by integrating residential treatment, behavioral health services, recovery supports, care coordination, workforce development, and community-based healing services into a single continuum of care.",Health Care Access,5000000,"Behavioral health/substance use disorder treatment;Clinic;Non-Profit, Social Service, or Community Based Organization;Tribal Health Organization",Ketchikan Gateway Borough;Petersburg Borough;Prince of Wales-Hyder Census Area;Wrangell (City and Borough),2026-08-21 00:00:00
BP1-IA-189,Implementation,Kodiak Community Health Center,Strengthening Financial Systems to Support Sustainable Rural Healthcare Services,"Kodiak Community Health Center proposes to strengthen its financial systems through reimbursement analysis, payer contract review, revenue cycle assessment, and financial planning to address limited internal capacity for complex financial analysis and support sustainable health care services for the Kodiak community.",Pay for Value,241655.17,"Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Federally qualified health center;Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy",Kodiak Island Borough,2026-08-21 00:00:00
BP1-IA-186,Implementation,Kodiak Community Health Center,Patient Access & Capacity Optimization Initiative,"Kodiak Community Health Center (KCHC) proposes to improve patient access by evaluating and optimizing appointment scheduling, provider templates, and clinic workflows to better align available appointments with patient demand, addressing barriers to timely primary care access for patients across the Kodiak community.",Health Care Access,203091.53,"Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Federally qualified health center;Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy",Kodiak Island Borough,2026-08-21 00:00:00
BP1-IA-183,Implementation,Kodiak Community Health Center,Bidirectional Exchange of Radiology and Laboratory Orders and Results with Providence,"Kodiak Community Health Center (KCHC) proposes to implement secure electronic exchange of laboratory and radiology orders and results with Providence Kodiak Island Medical Center (PKIMC), replacing paper-based and manual processes that contribute to delays, errors, privacy risks, and administrative burden for patients and providers across the Kodiak community.",Spark Technology and Innovation,181093.27,"Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Federally qualified health center;Health Information Exchange (HIE);Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy",Kodiak Island Borough,2026-08-21 00:00:00
BP1-IA-187,Implementation,Kodiak Community Health Center,Reducing Provider Documentation Burden Through AI-Supported Clinical Documentation,"Kodiak Community Health Center (KCHC) proposes expanding the use of an AI-supported clinical documentation platform to reduce provider documentation burden and improve workflow efficiency, addressing workforce capacity constraints and access to care challenges in the Kodiak community.",Spark Technology and Innovation,25492.5,"Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Federally qualified health center;Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy",Kodiak Island Borough,2026-08-21 00:00:00
BP1-IA-185,Implementation,Kodiak Community Health Center,Health IT Service Management & EHR Support Initiative,"Kodiak Community Health Center (KCHC) proposes to implement a centralized health information technology service management system to improve tracking, prioritization, and resolution of electronic health record and technology support requests, addressing inefficient support processes that affect clinical operations and staff efficiency across the Kodiak community.",Spark Technology and Innovation,6354.5,"Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Federally qualified health center;Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy",Kodiak Island Borough,2026-08-21 00:00:00
BP1-IA-198,Implementation,Maniilaq Association,Pharmacy Modernization Project,"Maniilaq Association proposes a pharmacy modernization project to expand access to pharmacy care for 11 off-road village communities across the 38,000-square-mile service area in the rural Northwest Arctic. This project is intended to reduce health disparities related to medication management and adherence to medication regimens, increase immediate access to more types of medications and pharmaceutical care services, and improve medication safety and accountability through technology.",Health Care Access,1172759.64,"Clinic;Federally qualified health center;Hospital (all types);Non-Profit, Social Service, or Community Based Organization;Pharmacy;Tribal Health Organization",North Slope Borough;Northwest Arctic Borough,2026-08-21 00:00:00
BP1-IA-199,Implementation,Maniilaq Association,Portable X-Ray Units for Rural Arctic Village Clinics,"Maniilaq Association proposes to install portable X-ray units in small Northwest Arctic village clinics to enable on-site, rapid, high-quality imaging. On-site imaging will:

A) Reduce the need for expensive air travel for diagnostic imaging,
B) Enable quicker treatment decisions, and
C) Allow village clinic community health aides working via telehealth with hospital-based providers in the hub community of Kotzebue Maniilaq Health Center to quickly identify if an emergency medical evacuation is required.",Health Care Access,218964,"Clinic;Emergency Medical Services;Federally qualified health center;Hospital (all types);Non-Profit, Social Service, or Community Based Organization;Tribal Health Organization",North Slope Borough;Northwest Arctic Borough,2026-08-21 00:00:00
BP1-IA-200,Implementation,MAPHABIT INC,"ANCHOR: Aging & Neurodivergent Care through Health, Outreach, and Remote Support","MapHabit proposes ANCHOR, a statewide partner-led model delivering two evidence-based home- and community-based supports. MapHabit delivers AI-powered visual maps for people with intellectual and developmental disabilities, traumatic brain injury, and Alzheimer's-related dementias. Vivo delivers virtual strength programming for adults 55+ or at risk of falls. ANCHOR targets rural, remote, and frontier health access, caregiver, and workforce gaps statewide with an initial focus on the Matanuska-Susitna and Kenai Peninsula Boroughs.",Health Care Access,1241085.55,Home-and-community-based services provider;Organizations providing health technology solutions;Other vendors partnering with an Alaska healthcare or community organization,Statewide,2026-08-21 00:00:00
BP1-IA-210,Implementation,Matanuska-Susitna Borough School District,Building the Mat-Su Healthcare Workforce: High School Pathways for Rural Alaska,"Matanuska-Susitna Borough School District proposes building a regional healthcare workforce training network and certification hub, addressing healthcare workforce shortages, limited training capacity, and barriers to career entry for students and healthcare employers across the Mat-Su Borough and rural Alaska.",Strengthen Workforce,1845863.21,Education organization (Not public university in Alaska),Matanuska-Susitna Borough,2026-08-21 00:00:00
BP1-IA-211,Implementation,McCarthy Emergency Services,"Frontier Clinic Completion: Primary Care Access for McCarthy-Kennecott, Alaska","McCarthy Emergency Services proposes to complete and equip a frontier primary care clinic in McCarthy, Alaska, addressing the total absence of primary care infrastructure in one of the state's most remote and fastest-growing communities. The clinic will serve permanent residents, seasonal workers, and visitors across a vast, road-limited region of East-Central Alaska with no local access to a physician, nurse practitioner, or Community Health Aide.",Health Care Access,272689,"Clinic;Education organization (Not public university in Alaska);Emergency Medical Services;Family medicine or primary care;Maternal health;Non-Profit, Social Service, or Community Based Organization",Copper River Census Area,2026-08-21 00:00:00
BP1-IA-216,Implementation,Mountain View Health Services,Mountain View Community Health Transformation and Sustainability Initiative - Building a Neighborhood Health System Without Walls,"Mountain View Health Services proposes a Physician-led, Nurse-enabled, Social Work-integrated, Early Life Community Health Worker (EL-CHW)-supported neighborhood health system ""without walls"". The project combines integrated primary care, behavioral health, substance use treatment, telehealth, home visiting, and mobile health with a new Medicaid-supported EL-CHW model providing prevention and care coordination from preconception through age five to improve access and outcomes for underserved residents of Anchorage.",Health Care Access,1920730,"Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Home-and-community-based services provider;Maternal health;Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality),2026-08-21 00:00:00
BP1-IA-218,Implementation,Municipality of Anchorage,Municipality of Anchorage: Connecting Crisis Care and Safety Net System to Rural Healthcare,"Municipality of Anchorage (MOA) proposes to implement technology and test pilot approaches to improve outcomes from behavioral health crisis response, especially for rural and Tribal enrollees seeking care in Anchorage. The MOA will implement interoperable client records to coordinate care with local, Tribal, and other healthcare providers, sustain services, and capture data. MOA will implement and evaluate pilot projects to fill critical gaps in Anchorage's Crisis Care and Safety Net System to improve patient outcomes and system efficiency, and identify possible new Medicaid waiver services.",Spark Technology and Innovation,3015900,Behavioral health/substance use disorder treatment;Clinic;Emergency Medical Services;Local government;Maternal health;Organizations providing health technology solutions;Other health care provider,Anchorage (Municipality),2026-08-21 00:00:00
BP1-IA-219,Implementation,My House,Jeffs Path Expansion,"My House is expanding residential behavioral health services for young adults ages 18–25 in the Mat-Su Valley by increasing capacity from 8 to 16 beds and adding ASAM Level 3.5 alongside Level 3.1 care. This service reduces the risks associated with placing young adults in mixed-age adult settings, where exposure to older, higher-acuity populations can negatively impact safety, engagement, and recovery. This expansion strengthens coordinated care with hospitals, behavioral health providers, and justice system partners to improve continuity of care and recovery outcomes.",Healthy Communities,965974.17,"Non-Profit, Social Service, or Community Based Organization",Matanuska-Susitna Borough,2026-08-21 00:00:00
BP1-IA-224,Implementation,Native Village of Eyak Ilanka Community Health Center,Ilanka Community Health Center and Cordova Community Medical Center Exploratory/Planning Phases for One Healthcare System,"The Native Village of Eyak (NVE) proposes an exploratory/planning phases to begin the process of investigating a one healthcare system for the community of Cordova. Ilanka Community Health Center owned and operated by NVE and Cordova Community Medical Center (CCMC) are seeking the resources and support needed to begin the initial exploratory steps of a potential merger, including evaluating how combining services could strengthen financial stability, improve operational efficiency, and ultimately enhance care for the Cordova community all while keeping healthcare services close to home.",Healthy Communities,434202,Behavioral health/substance use disorder treatment;Clinic;Dental;Family medicine or primary care;Federally qualified health center;Tribe;Tribal Health Organization,Chugach Census Area,2026-08-21 00:00:00
